gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
ARI201704020,SFN,ARI,PHO01,20170402,0,1:10PM,day,,,false,,203,49016,unknown,unknown,sunny,75,ltor,7,rausg701,,,gibsg901,timmt901,wolfj901,reybd901,,,rodnf001,melam001,,regular,5,6,ARI,SFN,y,both,y,y,y,2017
SLN201704020,CHN,SLN,STL10,20170402,0,7:38PM,night,,,false,,213,47566,unknown,unknown,unknown,63,rtol,8,muelg701,,,emmep901,onorb901,wolcq901,segac901,,,oh--s001,montm002,,regular,3,4,SLN,CHN,y,both,y,y,y,2017
TBA201704020,NYA,TBA,STP01,20170402,0,1:12PM,day,,,true,,201,31042,dry,none,dome,72,unknown,0,mathb701,,,laynj901,hudsm901,belld901,estam901,,,archc001,tanam001,coloa001,regular,3,7,TBA,NYA,y,both,y,y,y,2017
BAL201704030,TOR,BAL,BAL12,20170403,0,3:09PM,day,,,true,,221,45667,unknown,unknown,unknown,65,rtol,14,hennj701,,,cedeg901,coope901,johna901,morag901,,,wilst004,grilj001,,regular,2,3,BAL,TOR,y,both,y,y,y,2017
BOS201704030,PIT,BOS,BOS07,20170403,0,2:06PM,day,,,true,,183,36594,unknown,unknown,cloudy,48,fromrf,13,shalm701,,,demud901,nauep901,guccc901,torrc901,,,porcr001,coleg001,kimbc001,regular,3,5,BOS,PIT,y,both,y,y,y,2017
CIN201704030,PHI,CIN,CIN09,20170403,0,4:10PM,day,,,false,,184,43804,unknown,unknown,overcast,68,fromrf,12,rothr701,,,hallt901,cuzzp901,carav901,rippm901,,,hellj001,felds001,gomej002,regular,4,3,PHI,CIN,y,both,y,y,y,2017
HOU201704030,SEA,HOU,HOU03,20170403,0,7:15PM,night,,,true,,149,41678,unknown,unknown,sunny,84,unknown,0,blour701,,,nelsj901,diazl901,eddid901,blasc901,,,keucd001,hernf002,gilek001,regular,0,3,HOU,SEA,y,both,y,y,y,2017
LAN201704030,SDN,LAN,LOS03,20170403,0,1:10PM,day,,,false,,172,53701,unknown,unknown,sunny,67,torf,3,whitj701,,,vanol901,marqa901,fairc901,rackd901,,,kersc001,chacj001,,regular,3,14,LAN,SDN,y,both,y,y,y,2017
MIL201704030,COL,MIL,MIL06,20170403,0,1:11PM,day,,,false,,206,43336,dry,none,dome,67,unknown,0,odrit701,,,westj901,wendh902,fleta901,porta901,,,estec001,marij001,hollg001,regular,7,5,COL,MIL,y,both,y,y,y,2017
MIN201704030,KCA,MIN,MIN04,20170403,0,3:16PM,day,,,true,,167,39615,unknown,unknown,overcast,50,fromlf,10,wongg701,,,davig901,randt901,drakr901,hobep901,,,sante001,stram001,,regular,1,7,MIN,KCA,y,both,y,y,y,2017
NYN201704030,ATL,NYN,NYC20,20170403,0,1:13PM,day,,,false,,193,44384,unknown,unknown,cloudy,62,tolf,13,karph701,,,kellj901,hoyej901,littw901,fagac901,,,roblh001,kroli001,,regular,0,6,NYN,ATL,y,both,y,y,y,2017
OAK201704030,ANA,OAK,OAK01,20170403,0,7:09PM,night,,,true,,176,36067,unknown,unknown,sunny,59,tolf,9,thomc701,,,barrt901,herna901,barkl901,tumpj901,,,gravk001,nolar001,garcj002,regular,2,4,OAK,ANA,y,both,y,y,y,2017
TEX201704030,CLE,TEX,ARL02,20170403,0,6:10PM,night,,,true,,201,48350,unknown,unknown,sunny,80,tocf,5,wells701,,,wintm901,wegnm901,fostm901,muchm901,,,milla002,dysos001,allec002,regular,8,5,CLE,TEX,y,both,y,y,y,2017
WAS201704030,MIA,WAS,WAS11,20170403,0,1:05PM,day,,,false,,167,42744,unknown,unknown,unknown,66,torf,5,tritb701,,,mealj901,kulpr901,hicke901,conrc901,,,stras001,pheld001,treib001,regular,2,4,WAS,MIA,y,both,y,y,y,2017
ARI201704040,SFN,ARI,PHO01,20170404,0,6:40PM,night,,,false,,206,19378,unknown,unknown,sunny,77,unknown,9,rausg701,,,timmt901,wolfj901,reybd901,gibsg901,,,cuetj001,corbp001,,regular,8,4,SFN,ARI,y,both,y,y,y,2017
CHA201704040,DET,CHA,CHI12,20170404,0,1:10PM,day,,,true,,210,36534,unknown,unknown,overcast,48,torf,11,roseb701,,,gormb901,iassd901,dimum901,gibsh902,,,verlj001,quinj001,rodrf003,regular,6,3,DET,CHA,y,both,y,y,y,2017
HOU201704040,SEA,HOU,HOU03,20170404,0,7:11PM,night,,,true,,161,21406,unknown,unknown,sunny,81,unknown,11,porzg701,,,diazl901,eddid901,blasc901,nelsj901,,,mccul002,iwakh001,gilek001,regular,1,2,HOU,SEA,y,both,y,y,y,2017
LAN201704040,SDN,LAN,LOS03,20170404,0,7:10PM,night,,,false,,164,42196,unknown,unknown,sunny,65,ltor,6,munse701,,,marqa901,fairc901,rackd901,vanol901,,,richc002,maedk001,,regular,4,0,SDN,LAN,y,both,y,y,y,2017
MIL201704040,COL,MIL,MIL06,20170404,0,6:40PM,night,,,false,,214,21458,dry,none,dome,68,unknown,0,odrit701,,,wendh902,fleta901,porta901,westj901,,,andet002,daviz001,hollg001,regular,6,5,COL,MIL,y,both,y,y,y,2017
OAK201704040,ANA,OAK,OAK01,20170404,0,7:07PM,night,,,true,,197,11225,unknown,unknown,overcast,63,torf,11,dybdc701,,,herna901,barkl901,tumpj901,barrt901,,,baila001,dullr001,bedrc001,regular,7,6,ANA,OAK,y,both,y,y,y,2017
SLN201704040,CHN,SLN,STL10,20170404,0,7:16PM,night,,,false,,177,46760,unknown,unknown,overcast,61,fromlf,10,muelg701,,,onorb901,wolcq901,segac901,emmep901,,,arrij001,waina001,daviw001,regular,2,1,CHN,SLN,y,both,y,y,y,2017
TBA201704040,NYA,TBA,STP01,20170404,0,7:10PM,night,,,true,,187,19366,dry,none,dome,72,unknown,0,mathb701,,,hudsm901,belld901,estam901,laynj901,,,sabac001,odorj001,,regular,5,0,NYA,TBA,y,both,y,y,y,2017
TEX201704040,CLE,TEX,ARL02,20170404,0,7:09PM,night,,,true,,194,23574,unknown,unknown,cloudy,81,tocf,14,ruddw701,,,wegnm901,fostm901,muchm901,wintm901,,,carrc003,perem004,allec002,regular,4,3,CLE,TEX,y,both,y,y,y,2017
ARI201704050,SFN,ARI,PHO01,20170405,0,6:40PM,night,,,false,,195,14675,unknown,unknown,cloudy,82,fromrf,5,rausg701,,,wolfj901,reybd901,gibsg901,timmt901,,,walkt004,moorm003,rodnf001,regular,6,8,ARI,SFN,y,both,y,y,y,2017
BAL201704050,TOR,BAL,BAL12,20170405,0,7:08PM,night,,,true,,143,16086,unknown,unknown,unknown,66,rtol,6,hetrd701,,,coope901,johna901,morag901,cedeg901,,,bundd001,happj001,britz001,regular,1,3,BAL,TOR,y,both,y,y,y,2017
BOS201704050,PIT,BOS,BOS07,20170405,0,7:10PM,night,,,true,,233,36137,unknown,unknown,unknown,40,fromrf,8,shalm701,,,nauep901,guccc901,torrc901,demud901,,,kellj001,basta001,,regular,0,3,BOS,PIT,y,both,y,y,y,2017
CIN201704050,PHI,CIN,CIN09,20170405,0,8:00PM,night,,,false,,145,19944,unknown,unknown,overcast,62,unknown,5,camem701,,,cuzzp901,carav901,rippm901,hallt901,,,finnb001,eickj001,igler001,regular,0,2,CIN,PHI,y,both,y,y,y,2017
HOU201704050,SEA,HOU,HOU03,20170405,0,7:11PM,night,,,true,,265,20303,unknown,unknown,sunny,71,fromcf,21,porzg701,,,eddid901,blasc901,nelsj901,diazl901,,,peacb001,dejoc001,,regular,3,5,HOU,SEA,y,both,y,y,y,2017
LAN201704050,SDN,LAN,LOS03,20170405,0,7:10PM,night,,,false,,163,38373,unknown,unknown,sunny,70,torf,5,munse701,,,fairc901,rackd901,vanol901,marqa901,,,hillr001,cahit001,jansk001,regular,1,3,LAN,SDN,y,both,y,y,y,2017
MIL201704050,COL,MIL,MIL06,20170405,0,7:10PM,night,,,false,,183,21824,dry,none,dome,64,unknown,0,odrit701,,,fleta901,porta901,westj901,wendh902,,,peraw001,chatt001,felin001,regular,1,6,MIL,COL,y,both,y,y,y,2017
MIN201704050,KCA,MIN,MIN04,20170405,0,12:11PM,day,,,true,,186,15171,unknown,unknown,unknown,47,fromlf,10,thors701,,,randt901,drakr901,hobep901,davig901,,,santh001,kenni001,,regular,1,9,MIN,KCA,y,both,y,y,y,2017
NYN201704050,ATL,NYN,NYC20,20170405,0,7:10PM,night,,,false,,231,28113,unknown,unknown,cloudy,55,fromrf,10,karph701,,,hoyej901,littw901,fagac901,kellj901,,,johnj010,montr004,,regular,3,1,ATL,NYN,y,both,y,y,y,2017
OAK201704050,ANA,OAK,OAK01,20170405,0,7:07PM,night,,,true,,195,13405,unknown,unknown,overcast,64,torf,17,younj701,,,barkl901,tumpj901,barrt901,herna901,,,ramij002,cottj001,,regular,5,0,ANA,OAK,y,both,y,y,y,2017
TBA201704050,NYA,TBA,STP01,20170405,0,7:10PM,night,,,true,,197,12737,dry,none,dome,72,unknown,0,mathb701,,,belld901,estam901,laynj901,hudsm901,,,cobba001,pinem001,coloa001,regular,1,4,TBA,NYA,y,both,y,y,y,2017
TEX201704050,CLE,TEX,ARL02,20170405,0,7:08PM,night,,,true,,205,24649,unknown,unknown,cloudy,68,tocf,15,wells701,,,muchm901,sches901,wintm901,wegnm901,,,armss001,dysos001,shawb001,regular,9,6,CLE,TEX,y,both,y,y,y,2017
WAS201704050,MIA,WAS,WAS11,20170405,0,7:05PM,night,,,false,,186,22715,unknown,unknown,unknown,69,tolf,12,mathd701,,,kulpr901,hicke901,conrc901,mealj901,,,roart001,strad003,treib001,regular,4,6,WAS,MIA,y,both,y,y,y,2017
