id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g
abadf001,Abad,Fernando,L,L,SFN,21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,20190815,20190928
abreb002,Abreu,Bryan,R,R,HOU,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20190731,20191012
abrej003,Abreu,Jose,R,R,ALS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20190709,20190709
abrej003,Abreu,Jose,R,R,CHA,159,0,0,0,0,125,0,0,0,0,0,0,0,34,0,0,20190328,20190929
acunr001,Acuna,Ronald,R,R,ATL,161,0,0,0,0,0,0,0,0,46,105,35,161,0,2,0,20190328,20191009
acunr001,Acuna,Ronald,R,R,NLS,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20190709,20190709
adama001,Adams,Austin,R,R,DET,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,20190601,20190706
adama001,Adams,Austin,R,R,MIN,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20190518,20190523
adama002,Adams,Austin,R,R,SEA,29,29,2,27,0,0,0,0,0,0,0,0,0,0,0,0,20190513,20190921
adama002,Adams,Austin,R,R,WAS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190420,20190420
adamc001,Adames,Cristhian,B,R,SFN,10,0,0,0,0,0,4,3,0,0,0,0,0,0,4,1,20190914,20190929
adamc002,Adams,Chance,R,R,NYA,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,20190519,20190927
adamj002,Adam,Jason,R,R,TOR,23,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,20190801,20190929
adamm002,Adams,Matt,L,R,WAS,115,0,0,0,0,79,0,0,0,0,0,0,0,0,37,1,20190328,20191025
adamw002,Adames,Willy,R,R,TBA,158,0,0,0,0,0,0,0,158,0,0,0,0,0,2,0,20190328,20191010
adduj002,Adduci,Jim,L,L,CHN,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20190527,20190601
adrie001,Adrianza,Ehire,B,R,MIN,84,1,0,1,0,20,7,24,24,1,0,6,7,0,11,8,20190331,20190912
agrad001,Agrazal,Dario,R,R,PIT,15,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,20190615,20190925
aguij001,Aguilar,Jesus,R,R,MIL,94,0,0,0,0,60,0,2,0,0,0,0,0,0,35,0,20190328,20190728
aguij001,Aguilar,Jesus,R,R,TBA,37,0,0,0,0,15,0,0,0,0,0,0,0,13,9,0,20190801,20190929
ahmen001,Ahmed,Nick,R,R,ARI,158,0,0,0,0,0,0,0,158,0,0,0,0,0,2,0,20190328,20190929
alanr001,Alaniz,R.J.,R,R,CIN,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20190817,20190928
alanr001,Alaniz,R.J.,R,R,SEA,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20190412,20190421
albeh001,Alberto,Hanser,R,R,BAL,139,1,0,1,0,0,90,66,0,3,0,1,4,1,7,2,20190328,20190929
albem001,Albers,Matt,L,R,MIL,67,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,20190329,20190928
albio001,Albies,Ozzie,B,R,ATL,165,0,0,0,0,0,163,0,0,0,0,0,0,0,2,0,20190328,20191009
alcaj001,Alcala,Jorge,R,R,MIN,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20190921,20190926
alcas001,Alcantara,Sandy,R,R,MIA,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,20190331,20190929
alcas001,Alcantara,Sandy,R,R,NLS,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190709,20190709
alcav001,Alcantara,Victor,R,R,DET,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,20190328,20190929
alexs001,Alexander,Scott,L,L,LAN,28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,20190329,20190605
alext001,Alexander,Tyler,R,L,DET,13,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,20190703,20190928
alfaj002,Alfaro,Jorge,R,R,MIA,130,0,0,0,118,1,0,0,0,0,0,0,0,1,14,0,20190328,20190929
alfoa002,Alford,Anthony,R,R,TOR,16,0,0,0,0,0,0,0,0,6,2,5,13,2,5,3,20190402,20190929
allak001,Allard,Kolby,L,L,TEX,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20190809,20190925
allea001,Allen,Austin,L,R,SDN,34,0,0,0,19,2,0,0,0,0,0,0,0,0,17,0,20190511,20190925
allec002,Allen,Cody,R,R,ANA,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,20190329,20190614
alleg002,Allen,Greg,B,R,CLE,89,0,0,0,0,0,0,0,0,60,18,13,84,0,17,5,20190328,20190929
allel002,Allen,Logan,R,L,CLE,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20190814,20190814
allel002,Allen,Logan,R,L,SDN,8,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,20190618,20190726
almoa001,Almonte,Abraham,B,R,ARI,17,0,0,0,0,0,0,0,0,0,3,9,12,0,6,1,20190901,20190925
almoa002,Almora,Albert,R,R,CHN,130,0,0,0,0,0,0,0,0,0,125,0,125,0,21,1,20190328,20190928
almoy001,Almonte,Yency,B,R,COL,28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,20190407,20190929
alonp001,Alonso,Pete,R,R,NLS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20190709,20190709
alonp001,Alonso,Pete,R,R,NYN,161,0,0,0,0,156,0,0,0,0,0,0,0,1,7,0,20190328,20190929
alony001,Alonso,Yonder,L,R,CHA,67,0,0,0,0,21,0,0,0,0,0,0,0,42,6,0,20190328,20190626
alony001,Alonso,Yonder,L,R,COL,54,0,0,0,0,11,0,0,0,0,0,0,0,0,43,0,20190723,20190929
altad001,Altavilla,Dan,R,R,SEA,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,20190321,20190929
altha001,Altherr,Aaron,R,R,NYN,26,0,0,0,0,0,0,0,0,13,8,2,20,0,9,4,20190524,20190823
altha001,Altherr,Aaron,R,R,PHI,22,1,0,1,0,0,0,0,0,1,8,4,11,0,11,3,20190330,20190503
altha001,Altherr,Aaron,R,R,SFN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20190517,20190517
altuj001,Altuve,Jose,R,R,HOU,142,0,0,0,0,0,139,0,1,0,0,0,0,2,2,0,20190328,20191030
alvaj003,Alvarez,Jose,L,L,PHI,67,67,1,66,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20190929
alvaj004,Alvarado,Jose,L,L,TBA,35,35,1,34,0,0,0,0,0,0,0,0,0,0,0,0,20190329,20190824
alvay001,Alvarez,Yordan,L,R,HOU,105,0,0,0,0,0,0,0,0,11,0,0,11,89,6,0,20190609,20191030
alzoa001,Alzolay,Adbert,R,R,CHN,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,20190620,20190906
andeb004,Anderson,Brett,L,L,OAK,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,20190330,20190928
andeb006,Anderson,Brian,R,R,MIA,126,0,0,0,0,0,0,67,0,0,0,55,55,1,6,0,20190328,20190823
andec001,Anderson,Chase,R,R,MIL,33,32,27,5,0,0,0,0,0,0,0,0,0,0,0,1,20190329,20190926
andec002,Anderson,Cody,R,R,CLE,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,20190413,20190510
