date,homeTeam,awayTeam,homeScore,awayScore
2024-03-20,SDN,LAN,2.0,5.0
2024-03-21,LAN,SDN,11.0,15.0
2024-03-28,TEX,CHN,4.0,3.0
2024-03-28,TBA,TOR,2.0,8.0
2024-03-28,SEA,BOS,4.0,6.0
2024-03-28,SDN,SFN,6.0,4.0
2024-03-28,OAK,CLE,0.0,8.0
2024-03-28,LAN,SLN,7.0,1.0
2024-03-28,MIA,PIT,5.0,6.0
2024-03-28,HOU,NYA,4.0,5.0
2024-03-28,CIN,WAS,8.0,2.0
2024-03-28,CHA,DET,0.0,1.0
2024-03-28,BAL,ANA,11.0,3.0
2024-03-28,ARI,COL,16.0,1.0
2024-03-28,KCA,MIN,1.0,4.0
2024-03-29,PHI,ATL,3.0,9.0
2024-03-29,TBA,TOR,8.0,2.0
2024-03-29,SEA,BOS,1.0,0.0
2024-03-29,SDN,SFN,3.0,8.0
2024-03-29,OAK,CLE,4.0,6.0
2024-03-29,ARI,COL,7.0,3.0
2024-03-29,MIA,PIT,2.0,7.0
2024-03-29,LAN,SLN,6.0,3.0
2024-03-29,HOU,NYA,1.0,7.0
2024-03-29,NYN,MIL,1.0,3.0
2024-03-30,NYN,MIL,6.0,7.0
2024-03-30,TEX,CHN,11.0,2.0
2024-03-30,TBA,TOR,5.0,1.0
2024-03-30,SDN,SFN,6.0,9.0
2024-03-30,PHI,ATL,4.0,12.0
2024-03-30,OAK,CLE,3.0,12.0
2024-03-30,MIA,PIT,3.0,9.0
2024-03-30,SEA,BOS,4.0,3.0
2024-03-30,KCA,MIN,1.0,5.0
2024-03-30,HOU,NYA,3.0,5.0
2024-03-30,CIN,WAS,6.0,7.0
2024-03-30,CHA,DET,6.0,7.0
2024-03-30,BAL,ANA,13.0,4.0
2024-03-30,ARI,COL,4.0,9.0
2024-03-30,LAN,SLN,5.0,6.0
2024-03-31,TEX,CHN,5.0,9.0
2024-03-31,SEA,BOS,1.0,5.0
2024-03-31,SDN,SFN,13.0,4.0
2024-03-31,PHI,ATL,5.0,4.0
2024-03-31,OAK,CLE,4.0,3.0
2024-03-31,NYN,MIL,1.0,4.0
2024-03-31,MIA,PIT,7.0,9.0
2024-03-31,TBA,TOR,2.0,9.0
2024-03-31,KCA,MIN,11.0,0.0
2024-03-31,HOU,NYA,3.0,4.0
2024-03-31,CIN,WAS,6.0,5.0
2024-03-31,CHA,DET,2.0,3.0
2024-03-31,BAL,ANA,1.0,4.0
2024-03-31,ARI,COL,5.0,1.0
2024-03-31,LAN,SLN,5.0,4.0
2024-04-01,WAS,PIT,4.0,8.0
2024-04-01,TBA,TEX,3.0,9.0
2024-04-01,SEA,CLE,5.0,4.0
2024-04-01,SDN,SLN,2.0,6.0
2024-04-01,PHI,CIN,3.0,6.0
2024-04-01,OAK,BOS,0.0,9.0
2024-04-01,NYN,DET,0.0,5.0
2024-04-01,MIA,ANA,4.0,7.0
2024-04-01,HOU,TOR,10.0,0.0
2024-04-01,CHN,COL,5.0,0.0
2024-04-01,CHA,ATL,0.0,9.0
2024-04-01,BAL,KCA,6.0,4.0
2024-04-01,ARI,NYA,2.0,5.0
2024-04-01,LAN,SFN,8.0,3.0
2024-04-02,OAK,BOS,4.0,5.0
2024-04-02,TBA,TEX,5.0,2.0
2024-04-02,SEA,CLE,2.0,5.0
2024-04-02,SDN,SLN,2.0,5.0
2024-04-02,PHI,CIN,9.0,4.0
2024-04-02,MIL,MIN,3.0,2.0
2024-04-02,LAN,SFN,5.0,4.0
2024-04-02,MIA,ANA,1.0,3.0
2024-04-02,HOU,TOR,1.0,2.0
2024-04-02,CHN,COL,12.0,2.0
2024-04-02,CHA,ATL,3.0,2.0
2024-04-02,BAL,KCA,1.0,4.0
2024-04-02,ARI,NYA,7.0,0.0
2024-04-03,WAS,PIT,5.0,3.0
2024-04-03,TBA,TEX,1.0,4.0
2024-04-03,SEA,CLE,0.0,8.0
2024-04-03,PHI,CIN,1.0,4.0
2024-04-03,MIL,MIN,3.0,7.0
2024-04-03,SDN,SLN,3.0,2.0
2024-04-03,LAN,SFN,5.0,4.0
2024-04-03,HOU,TOR,8.0,0.0
2024-04-03,CHN,COL,9.0,8.0
2024-04-03,BAL,KCA,4.0,3.0
2024-04-03,ARI,NYA,5.0,6.0
2024-04-03,MIA,ANA,2.0,10.0
2024-04-03,OAK,BOS,0.0,1.0
2024-04-04,KCA,CHA,10.0,1.0
2024-04-04,MIN,CLE,2.0,4.0
2024-04-04,NYN,DET,3.0,6.0
2024-04-04,NYN,DET,2.0,1.0
2024-04-04,SLN,MIA,8.0,5.0
2024-04-04,WAS,PIT,4.0,7.0
2024-04-05,SFN,SDN,3.0,2.0
2024-04-05,NYA,TOR,0.0,3.0
2024-04-05,TEX,HOU,10.0,2.0
2024-04-05,MIL,SEA,6.0,5.0
2024-04-05,WAS,PHI,0.0,4.0
2024-04-05,KCA,CHA,2.0,1.0
2024-04-05,PIT,BAL,2.0,5.0
2024-04-05,COL,TBA,10.0,7.0
2024-04-05,CIN,NYN,2.0,3.0
2024-04-05,CHN,LAN,9.0,7.0
2024-04-05,ATL,ARI,6.0,5.0
2024-04-05,ANA,BOS,6.0,8.0
2024-04-05,DET,OAK,5.0,4.0
2024-04-06,WAS,PHI,2.0,5.0
2024-04-06,TEX,HOU,7.0,2.0
2024-04-06,SFN,SDN,0.0,4.0
2024-04-06,PIT,BAL,5.0,4.0
2024-04-06,NYA,TOR,9.0,8.0
2024-04-06,MIN,CLE,1.0,3.0
2024-04-06,MIL,SEA,3.0,5.0
2024-04-06,SLN,MIA,3.0,1.0
2024-04-06,DET,OAK,0.0,4.0
2024-04-06,COL,TBA,6.0,8.0
2024-04-06,CIN,NYN,9.0,6.0
2024-04-06,CHN,LAN,1.0,4.0
2024-04-06,ATL,ARI,9.0,8.0
2024-04-06,ANA,BOS,2.0,1.0
2024-04-06,KCA,CHA,3.0,0.0
2024-04-07,WAS,PHI,3.0,2.0
2024-04-07,TEX,HOU,1.0,3.0
2024-04-07,SLN,MIA,3.0,10.0
2024-04-07,SFN,SDN,3.0,2.0
2024-04-07,PIT,BAL,3.0,2.0
2024-04-07,NYA,TOR,8.0,3.0
2024-04-07,MIL,SEA,12.0,4.0
2024-04-07,COL,TBA,2.0,3.0
2024-04-07,DET,OAK,1.0,7.0
2024-04-07,CIN,NYN,1.0,3.0
2024-04-07,CHN,LAN,8.0,1.0
2024-04-07,ATL,ARI,5.0,2.0
2024-04-07,ANA,BOS,2.0,12.0
2024-04-07,KCA,CHA,5.0,3.0
2024-04-08,SDN,CHN,9.0,8.0
2024-04-08,SLN,PHI,3.0,5.0
2024-04-08,PIT,DET,7.0,4.0
2024-04-08,TOR,SEA,5.0,2.0
2024-04-08,TEX,HOU,5.0,10.0
2024-04-08,NYA,MIA,7.0,0.0
2024-04-08,SFN,WAS,1.0,8.0
2024-04-08,COL,ARI,7.0,5.0
2024-04-08,ANA,TBA,7.0,1.0
2024-04-08,ATL,NYN,7.0,8.0
2024-04-08,MIN,LAN,2.0,4.0
2024-04-08,CLE,CHA,4.0,0.0
2024-04-08,CIN,MIL,10.0,8.0
2024-04-09,TEX,OAK,3.0,4.0
2024-04-09,TOR,SEA,5.0,3.0
2024-04-09,SLN,PHI,3.0,0.0
2024-04-09,SFN,WAS,3.0,5.0
2024-04-09,SDN,CHN,1.0,5.0
2024-04-09,NYA,MIA,3.0,2.0
2024-04-09,MIN,LAN,3.0,6.0
2024-04-09,PIT,DET,3.0,5.0
2024-04-09,COL,ARI,2.0,3.0
2024-04-09,CLE,CHA,5.0,7.0
2024-04-09,CIN,MIL,5.0,9.0
2024-04-09,BOS,BAL,1.0,7.0
2024-04-09,ATL,NYN,6.0,5.0
2024-04-09,ANA,TBA,4.0,6.0
2024-04-09,KCA,HOU,4.0,3.0
2024-04-10,SDN,CHN,10.0,2.0
2024-04-10,TOR,SEA,1.0,6.0
2024-04-10,TEX,OAK,6.0,2.0
2024-04-10,SLN,PHI,3.0,4.0
