gid,date,yearID,homeTeam,awayTeam,homeScore,awayScore,home_roll_runs_5,home_roll_runs_10,home_roll_winpct_10,away_roll_runs_5,away_roll_runs_10,away_roll_winpct_10,temp,windspeed,pred_home_win_prob,pred_home_win_pct
ALS202407160,2024-07-16,2024,ALS,NLS,5,3,4.4,4.333333333333333,0.4444444444444444,3.2,2.7777777777777777,0.3333333333333333,74.0,0.0,0.47819702530001473,47.81970253000147
ANA202404050,2024-04-05,2024,ANA,BOS,6,8,5.6,4.6,0.5,4.6,4.0,0.5,54.0,8.0,0.5403575714595356,54.03575714595355
ANA202404060,2024-04-06,2024,ANA,BOS,2,1,6.0,5.2,0.5,5.6,4.5,0.5,61.0,7.0,0.46758962658962056,46.758962658962055
ANA202404070,2024-04-07,2024,ANA,BOS,2,12,5.6,4.9,0.4,4.8,4.4,0.5,66.0,9.0,0.5176647515139128,51.766475151391276
ANA202404080,2024-04-08,2024,ANA,TBA,7,1,4.6,4.8,0.4,4.8,4.4,0.6,70.0,2.0,0.49185685545335067,49.18568554533507
ANA202404090,2024-04-09,2024,ANA,TBA,4,6,5.4,4.8,0.4,4.0,4.3,0.5,77.0,4.0,0.5382421342564977,53.824213425649766
ANA202404100,2024-04-10,2024,ANA,TBA,2,4,4.2,4.9,0.4,5.0,4.1,0.5,80.0,6.0,0.4926563836244527,49.265638362445266
ANA202404220,2024-04-22,2024,ANA,BAL,2,4,2.4,3.8,0.4,6.6,6.1,0.6,59.0,6.0,0.3933164863909608,39.33164863909608
ANA202404230,2024-04-23,2024,ANA,BAL,7,4,1.8,3.3,0.4,5.2,5.6,0.5,66.0,4.0,0.471540648838345,47.1540648838345
ANA202404240,2024-04-24,2024,ANA,BAL,5,6,3.0,3.8,0.5,5.2,5.9,0.5,67.0,10.0,0.40062001142909154,40.06200114290915
ANA202404260,2024-04-26,2024,ANA,MIN,3,5,3.8,3.9,0.4,5.2,4.3,0.3,64.0,7.0,0.596710512687812,59.67105126878119
ANA202404270,2024-04-27,2024,ANA,MIN,5,16,3.4,3.5,0.3,6.0,4.4,0.2,67.0,9.0,0.4769385807229715,47.693858072297154
ANA202404280,2024-04-28,2024,ANA,MIN,5,11,4.4,3.4,0.4,7.8,5.7,0.3,73.0,6.0,0.5081649170401564,50.81649170401564
ANA202404290,2024-04-29,2024,ANA,PHI,6,5,5.0,3.4,0.4,6.2,6.3,0.5,71.0,7.0,0.4093378055724455,40.933780557244546
ANA202404300,2024-04-30,2024,ANA,PHI,5,7,4.8,3.9,0.5,6.4,6.1,0.5,68.0,10.0,0.40991683331136697,40.9916833311367
ANA202405010,2024-05-01,2024,ANA,PHI,1,2,4.8,4.3,0.5,6.8,5.9,0.5,71.0,6.0,0.4245801200409566,42.45801200409566
ANA202405090,2024-05-09,2024,ANA,KCA,4,10,3.4,4.0,0.3,4.0,4.3,0.6,67.0,11.0,0.4897947574340835,48.97947574340835
ANA202405100,2024-05-10,2024,ANA,KCA,1,2,4.0,3.9,0.3,5.2,5.2,0.7,66.0,6.0,0.44725902812722185,44.72590281272218
ANA202405110,2024-05-11,2024,ANA,KCA,9,3,4.0,3.4,0.2,5.2,4.9,0.6,67.0,10.0,0.4810602633857178,48.10602633857178
ANA202405120,2024-05-12,2024,ANA,KCA,2,4,5.6,3.8,0.3,5.2,4.8,0.7,73.0,6.0,0.48331879868002364,48.33187986800237
ANA202405130,2024-05-13,2024,ANA,SLN,5,10,4.2,3.9,0.3,3.0,2.8,0.7,65.0,8.0,0.481098606221752,48.1098606221752
ANA202405140,2024-05-14,2024,ANA,SLN,6,7,4.2,3.8,0.3,4.0,3.7,0.8,66.0,8.0,0.47258930675054206,47.25893067505421
ANA202405150,2024-05-15,2024,ANA,SLN,7,2,4.6,4.3,0.4,5.2,4.1,0.7,68.0,8.0,0.4717243364497263,47.17243364497263
ANA202405240,2024-05-24,2024,ANA,CLE,4,10,4.4,5.1,0.6,6.4,5.6,0.4,66.0,8.0,0.45759911196164416,45.75991119616442
ANA202405250,2024-05-25,2024,ANA,CLE,3,4,4.8,5.3,0.7,6.2,5.9,0.4,66.0,9.0,0.45310117021499285,45.31011702149929
ANA202405260,2024-05-26,2024,ANA,CLE,4,5,4.6,5.1,0.6,6.0,5.6,0.4,71.0,4.0,0.4856117283785464,48.56117283785464
ANA202405280,2024-05-28,2024,ANA,NYA,4,3,3.6,4.9,0.6,5.2,5.0,0.4,69.0,6.0,0.539250963358451,53.925096335845105
ANA202405290,2024-05-29,2024,ANA,NYA,1,2,3.4,4.6,0.5,4.4,4.9,0.5,68.0,9.0,0.539250963358451,53.925096335845105
ANA202405300,2024-05-30,2024,ANA,NYA,3,8,3.2,3.8,0.4,3.8,4.5,0.4,68.0,11.0,0.5233352520529174,52.33352520529174
ANA202406030,2024-06-03,2024,ANA,SDN,2,1,1.8,2.6,0.5,5.2,4.0,0.4,69.0,6.0,0.5126330725892817,51.26330725892817
